cumulative_distance,route,average_ttime,scenario_name,year,year_scenario,vehicle_type,hour
186.08,Morningside NB,0.2276947434292866,obs_15th,2025,2025 obs_15th,All Vehicles,AM3
204.13,Morningside NB,0.250737296620776,obs_15th,2025,2025 obs_15th,All Vehicles,AM3
224.56,Morningside NB,0.276274796620776,obs_15th,2025,2025 obs_15th,All Vehicles,AM3
238.55,Morningside NB,0.2934054088656739,obs_15th,2025,2025 obs_15th,All Vehicles,AM3
254.44,Morningside NB,0.3128625517228168,obs_15th,2025,2025 obs_15th,All Vehicles,AM3
276.54,Morningside NB,0.3404875517228168,obs_15th,2025,2025 obs_15th,All Vehicles,AM3
284.16,Morningside NB,0.3500125517228168,obs_15th,2025,2025 obs_15th,All Vehicles,AM3
345.92,Morningside NB,0.4272125517228168,obs_15th,2025,2025 obs_15th,All Vehicles,AM3
408.23,Morningside NB,0.5121807335409987,obs_15th,2025,2025 obs_15th,All Vehicles,AM3
436.97,Morningside NB,0.5542392701263645,obs_15th,2025,2025 obs_15th,All Vehicles,AM3
493.04,Morningside NB,0.6451635944506887,obs_15th,2025,2025 obs_15th,All Vehicles,AM3
504.62,Morningside NB,0.6650150230221175,obs_15th,2025,2025 obs_15th,All Vehicles,AM3
516.19,Morningside NB,0.685432670080941,obs_15th,2025,2025 obs_15th,All Vehicles,AM3
539.32,Morningside NB,0.728801420080941,obs_15th,2025,2025 obs_15th,All Vehicles,AM3
559.83,Morningside NB,0.76609232917185,obs_15th,2025,2025 obs_15th,All Vehicles,AM3
564.47,Morningside NB,0.77479232917185,obs_15th,2025,2025 obs_15th,All Vehicles,AM3
569.11,Morningside NB,0.78349232917185,obs_15th,2025,2025 obs_15th,All Vehicles,AM3
575.18,Morningside NB,0.7948735791718499,obs_15th,2025,2025 obs_15th,All Vehicles,AM3
601.02,Morningside NB,0.8483356481373672,obs_15th,2025,2025 obs_15th,All Vehicles,AM3
610.49,Morningside NB,0.8701894942912135,obs_15th,2025,2025 obs_15th,All Vehicles,AM3
649.22,Morningside NB,0.9531823514340706,obs_15th,2025,2025 obs_15th,All Vehicles,AM3
0,Morningside SB,0.0,obs_15th,2025,2025 obs_15th,All Vehicles,PM2
38.73,Morningside SB,0.07261874999999998,obs_15th,2025,2025 obs_15th,All Vehicles,PM2
48.2,Morningside SB,0.08983693181818181,obs_15th,2025,2025 obs_15th,All Vehicles,PM2
74.04,Morningside SB,0.13681875000000002,obs_15th,2025,2025 obs_15th,All Vehicles,PM2
80.11,Morningside SB,0.14785511363636364,obs_15th,2025,2025 obs_15th,All Vehicles,PM2
84.75,Morningside SB,0.15629147727272724,obs_15th,2025,2025 obs_15th,All Vehicles,PM2
89.39,Morningside SB,0.1647278409090909,obs_15th,2025,2025 obs_15th,All Vehicles,PM2
109.9,Morningside SB,0.1998878409090909,obs_15th,2025,2025 obs_15th,All Vehicles,PM2
133.03,Morningside SB,0.23739594901719901,obs_15th,2025,2025 obs_15th,All Vehicles,PM2
144.6,Morningside SB,0.255195949017199,obs_15th,2025,2025 obs_15th,All Vehicles,PM2
